date,state,positive
20200301,PERU,0
20200302,PERU,0
20200303,PERU,0
20200304,PERU,0
20200305,PERU,0
20200306,PERU,1
20200307,PERU,1
20200308,PERU,1
20200309,PERU,3
20200310,PERU,3
20200311,PERU,8
20200312,PERU,5
20200313,PERU,6
20200314,PERU,15
20200315,PERU,28
20200316,PERU,15
20200317,PERU,31
20200318,PERU,28
20200319,PERU,89
20200320,PERU,29
20200321,PERU,55
20200322,PERU,45
20200323,PERU,32
20200324,PERU,21
20200325,PERU,64
20200326,PERU,100
20200327,PERU,55
20200328,PERU,36
20200329,PERU,181
20200330,PERU,98
20200331,PERU,115
20200401,PERU,258
20200402,PERU,91
20200403,PERU,181
20200404,PERU,151
20200405,PERU,535
20200406,PERU,280
20200407,PERU,393
20200408,PERU,1388
20200409,PERU,914
20200410,PERU,641
20200411,PERU,951
20200412,PERU,671
20200413,PERU,2265
20200414,PERU,519
20200415,PERU,1172
20200416,PERU,1016
20200417,PERU,998
20200418,PERU,931
20200419,PERU,1208
20200420,PERU,697
20200421,PERU,1512
20200422,PERU,1413
20200423,PERU,1664
20200424,PERU,734
20200425,PERU,3683
20200426,PERU,2186
20200427,PERU,1152
20200428,PERU,2521
20200429,PERU,2740
20200430,PERU,3046
20200501,PERU,3483
20200502,PERU,2075
20200503,PERU,3394
20200504,PERU,1444
20200505,PERU,3817
20200506,PERU,3628
20200507,PERU,3709
20200508,PERU,3321
20200509,PERU,3168
20200510,PERU,2292
20200511,PERU,1515
20200512,PERU,3237
20200513,PERU,4247
20200514,PERU,4298
20200515,PERU,3891
20200516,PERU,4046
20200517,PERU,3732
20200518,PERU,2660
20200519,PERU,4550
20200520,PERU,4537
20200521,PERU,4749
20200522,PERU,2929
20200523,PERU,4056
20200524,PERU,4205
20200525,PERU,4020
20200526,PERU,5772
20200527,PERU,6154
20200528,PERU,5874
20200529,PERU,6506
20200530,PERU,7386
20200531,PERU,8805
20200601,PERU,5563
